SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
-0.963,0.306,-0.524
-0.896,0.317,-0.776
-0.789,0.280,-0.916
-0.692,0.183,-0.771
-0.588,0.036,-0.251
-0.487,-0.115,0.588
-0.394,-0.232,1.509
-0.321,-0.294,2.200
-0.243,-0.317,2.390
-0.102,-0.313,2.043
0.080,-0.318,1.338
0.209,-0.345,0.506
0.204,-0.340,-0.243
0.105,-0.265,-0.770
0.048,-0.142,-0.969
0.114,-0.054,-0.808
0.289,-0.081,-0.409
0.523,-0.231,-0.053
0.767,-0.416,-0.012
0.987,-0.516,-0.302
1.104,-0.519,-0.808
1.055,-0.485,-1.371
0.890,-0.430,-1.800
0.715,-0.323,-1.993
0.602,-0.196,-1.927
0.530,-0.111,-1.644
0.451,-0.112,-1.199
0.378,-0.193,-0.705
0.371,-0.306,-0.297
0.431,-0.398,0.022
0.445,-0.414,0.331
0.357,-0.317,0.676
0.189,-0.138,0.986
0.016,0.034,1.169
-0.121,0.138,1.200
-0.258,0.149,1.066
-0.377,0.090,0.836
-0.461,0.018,0.638
-0.499,-0.040,0.565
-0.507,-0.079,0.573
-0.544,-0.087,0.559
-0.587,-0.060,0.502
-0.603,-0.014,0.406
-0.556,-0.002,0.304
-0.480,-0.065,0.231
-0.446,-0.147,0.238
-0.457,-0.196,0.311
-0.481,-0.219,0.380
-0.461,-0.259,0.435
-0.380,-0.361,0.513
-0.274,-0.455,0.662
-0.177,-0.458,0.828
-0.104,-0.363,0.933
-0.062,-0.199,0.958
-0.048,-0.030,0.857
-0.034,0.090,0.582
0.034,0.124,0.111
0.195,0.079,-0.458
0.402,0.022,-0.939
0.574,-0.009,-1.246
0.684,-0.014,-1.443
0.740,-0.011,-1.634
0.764,0.016,-1.817
0.774,0.065,-1.889
0.768,0.053,-1.793
0.744,-0.020,-1.525
0.694,-0.090,-1.101
0.618,-0.135,-0.577
0.517,-0.162,-0.052
0.405,-0.181,0.339
0.323,-0.177,0.507
0.313,-0.148,0.469
0.373,-0.096,0.384
0.429,-0.023,0.432
0.401,0.040,0.648
0.282,0.060,0.938
0.119,0.025,1.166
-0.042,-0.031,1.268
-0.196,-0.096,1.227
-0.335,-0.159,1.019
-0.425,-0.192,0.607
-0.448,-0.182,-0.010
-0.422,-0.120,-0.692
-0.411,-0.029,-1.211
-0.442,0.075,-1.369
-0.494,0.176,-1.096
-0.550,0.263,-0.488
-0.594,0.330,0.262
-0.632,0.344,0.933
-0.625,0.294,1.348
-0.553,0.191,1.398
-0.431,0.055,1.065
-0.296,-0.027,0.508
-0.214,0.030,0.000
-0.195,0.185,-0.268
-0.209,0.334,-0.286
-0.199,0.391,-0.168
-0.131,0.365,-0.019
-0.030,0.286,0.098
0.082,0.146,0.167
0.174,-0.025,0.197
0.231,-0.171,0.155
0.242,-0.233,0.031
0.226,-0.192,-0.143
0.240,-0.087,-0.307
0.299,0.021,-0.354
0.410,0.084,-0.216
0.528,0.101,0.088
0.606,0.082,0.488
0.608,0.060,0.870
0.525,0.047,1.090
